date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-22T04:20:00.000+0000,1000000.0,1000000.0,999999.9999999998
2025-04-22T04:30:00.000+0000,999831.6807535837,789600.9419799997,1000219.6627168034
2025-04-22T04:40:00.000+0000,998887.2277609118,789600.9419799997,999872.7233771222
2025-04-22T04:50:00.000+0000,997706.6615200716,789600.9419799997,997929.0584692154
2025-04-22T05:00:00.000+0000,996964.5913115437,789600.9419799997,997342.5469031348
2025-04-22T05:10:00.000+0000,996964.5913115438,996964.5913115438,996575.596687484
2025-04-22T05:20:00.000+0000,996964.5913115438,996964.5913115438,997908.8911978891
2025-04-22T05:30:00.000+0000,996964.5913115438,996964.5913115438,998829.7356234947
2025-04-22T05:40:00.000+0000,996964.5913115438,996964.5913115438,1000615.2764328027
2025-04-22T05:50:00.000+0000,996964.5913115438,996964.5913115438,1000950.9316590314
2025-04-22T06:00:00.000+0000,996448.470220744,891199.4983115441,1001369.5314060822
2025-04-22T06:10:00.000+0000,995350.083633544,891199.4983115441,999363.4173807492
2025-04-22T06:20:00.000+0000,995389.3117259438,995389.3117259438,998427.6082715311
2025-04-22T06:30:00.000+0000,995389.3117259438,995389.3117259438,996636.7881972294
2025-04-22T06:40:00.000+0000,995389.3117259438,995389.3117259438,996982.530173441
2025-04-22T06:50:00.000+0000,995389.3117259438,995389.3117259438,999157.8818624929
2025-04-22T07:00:00.000+0000,995389.3117259438,995389.3117259438,1000792.3270729829
2025-04-22T07:10:00.000+0000,995389.3117259438,995389.3117259438,1000209.2146496071
2025-04-22T07:20:00.000+0000,994978.3035899436,778935.6061259436,1002481.4739139623
2025-04-22T07:30:00.000+0000,998070.2908197036,669414.2491259441,1005387.8363550606
2025-04-22T07:40:00.000+0000,998361.120534264,669414.2491259441,1009495.7529852339
2025-04-22T07:50:00.000+0000,999138.578469944,746502.1628192241,1010395.9716621344
2025-04-22T08:00:00.000+0000,999843.6425670641,557057.6908192239,1012080.2647097155
2025-04-22T08:10:00.000+0000,1000308.3888532239,557057.6908192239,1012813.9375375365
2025-04-22T08:20:00.000+0000,1000751.9361313039,557057.6908192239,1009839.0218655928
2025-04-22T08:30:00.000+0000,1001954.6639786643,601722.4194280242,1009800.5953824525
2025-04-22T08:40:00.000+0000,1002449.2905605842,601722.4194280242,1010085.2666595189
2025-04-22T08:50:00.000+0000,1002406.6605918641,601722.4194280242,1010687.0026974364
2025-04-22T09:00:00.000+0000,1002760.9456369041,601722.4194280242,1010810.8531893988
2025-04-22T09:10:00.000+0000,1000998.5848543441,601722.4194280242,1009237.041453213
2025-04-22T09:20:00.000+0000,1002920.2940561043,601722.4194280242,1010332.2579059256
2025-04-22T09:30:00.000+0000,1004765.1473713043,491480.5329280243,1010681.7061318334
2025-04-22T09:40:00.000+0000,1006740.4730455442,491480.5329280243,1012074.9935348437
2025-04-22T09:50:00.000+0000,1006678.4810788243,491480.5329280243,1011107.7363633325
2025-04-22T10:00:00.000+0000,1009521.5465054644,491480.5329280243,1011575.1417513846
2025-04-22T10:10:00.000+0000,1010193.6486932243,491480.5329280243,1011775.0971136128
2025-04-22T10:20:00.000+0000,1008674.8583982642,600549.459326904,1008083.2612250407
2025-04-22T10:30:00.000+0000,1009059.9591709842,695805.8324393842,1009579.4730552763
2025-04-22T10:40:00.000+0000,1009602.5486757043,695805.8324393842,1012414.0811206274
2025-04-22T10:50:00.000+0000,1009404.1783989841,695805.8324393842,1012364.7437992189
2025-04-22T11:00:00.000+0000,1011250.9495991443,695805.8324393842,1012643.2948085272
2025-04-22T11:10:00.000+0000,1012747.6387891441,695805.8324393842,1012970.3567874935
2025-04-22T11:20:00.000+0000,1013533.5705403442,695805.8324393842,1014598.8647078644
2025-04-22T11:30:00.000+0000,1012895.8391339444,695805.8324393842,1014410.4371972035
2025-04-22T11:40:00.000+0000,1013519.2627957042,695805.8324393842,1013819.5237098455
2025-04-22T11:50:00.000+0000,1016486.5554609842,695805.8324393842,1014907.6272360135
2025-04-22T12:00:00.000+0000,1016112.3855365842,695805.8324393842,1014025.8349846547
2025-04-22T12:10:00.000+0000,1016660.1161013042,695805.8324393842,1015006.9190810025
2025-04-22T12:20:00.000+0000,1017946.2889392242,695805.8324393842,1014897.3691743871
2025-04-22T12:30:00.000+0000,1019473.4396405041,695805.8324393842,1016280.6137845451
2025-04-22T12:40:00.000+0000,1017735.5997255442,695805.8324393842,1013988.2439664269
2025-04-22T12:50:00.000+0000,1021427.2830143442,695805.8324393842,1018643.0632875727
2025-04-22T13:00:00.000+0000,1020931.4602901043,695805.8324393842,1019946.764688924
2025-04-22T13:10:00.000+0000,1020975.1888792241,710157.0654608242,1023740.9652701784
2025-04-22T13:20:00.000+0000,1020116.9823941042,710157.0654608242,1023136.3644529313
2025-04-22T13:30:00.000+0000,1018946.6436147441,710157.0654608242,1022430.9634624606
2025-04-22T13:40:00.000+0000,1020245.2852696242,710157.0654608242,1026816.5712857315
2025-04-22T13:50:00.000+0000,1021539.7228904242,710157.0654608242,1026054.9347834009
2025-04-22T14:00:00.000+0000,1020623.1409762648,931236.1348346649,1027645.4606231244
2025-04-22T14:10:00.000+0000,1021374.8273873364,877977.9282941045,1032529.8345341842
2025-04-22T14:20:00.000+0000,1020698.3653602405,877977.9282941045,1030869.5031101957
2025-04-22T14:30:00.000+0000,1020805.2427598642,877977.9282941045,1031428.0956862288
2025-04-22T14:40:00.000+0000,1020805.2427598642,1020805.2427598642,1035018.7747805798
2025-04-22T14:50:00.000+0000,1020805.2427598642,1020805.2427598642,1038135.1660286561
2025-04-22T15:00:00.000+0000,1020805.2427598642,1020805.2427598642,1045932.2976135875
2025-04-22T15:10:00.000+0000,1020805.2427598642,1020805.2427598642,1052698.5597992241
2025-04-22T15:20:00.000+0000,1020716.8041101042,910256.9305598642,1051415.5263697535
2025-04-22T15:30:00.000+0000,1020017.2838743441,910256.9305598642,1045942.8771988549
2025-04-22T15:40:00.000+0000,1019004.1856018641,910256.9305598642,1042712.7303121666
2025-04-22T15:50:00.000+0000,1020306.7405236242,910256.9305598642,1046167.109254825
2025-04-22T16:00:00.000+0000,1024182.2434389842,910256.9305598642,1050432.7022548842
2025-04-22T16:10:00.000+0000,1024913.9255246641,910256.9305598642,1045393.5833821588
2025-04-22T16:20:00.000+0000,1024318.9313011442,910256.9305598642,1047247.5049675693
2025-04-22T16:30:00.000+0000,1024365.9690408243,950177.0007344243,1047713.2636633522
2025-04-22T16:40:00.000+0000,1023388.6293385844,950177.0007344243,1045348.2954304339
2025-04-22T16:50:00.000+0000,1023419.9878317043,950177.0007344243,1044716.045430654
2025-04-22T17:00:00.000+0000,1023519.2897265843,950177.0007344243,1047618.8094093236
2025-04-22T17:10:00.000+0000,1023226.6104574644,950177.0007344243,1044117.9441802637
2025-04-22T17:20:00.000+0000,1023237.0632885044,950177.0007344243,1044780.979823586
2025-04-22T17:30:00.000+0000,1023325.9123523444,950177.0007344243,1046468.100818622
2025-04-22T17:40:00.000+0000,1023587.2331283443,950177.0007344243,1047132.9748323935
2025-04-22T17:50:00.000+0000,1023435.6670782643,950177.0007344243,1048599.1023131623
2025-04-22T18:00:00.000+0000,1023738.7991784243,950177.0007344243,1050420.0263401559
2025-04-22T18:10:00.000+0000,1023874.6859819443,950177.0007344243,1049468.9447225146
2025-04-22T18:20:00.000+0000,1023744.0255939444,950177.0007344243,1049054.287896193
2025-04-22T18:30:00.000+0000,1024318.9313011443,950177.0007344243,1049181.1058983118
2025-04-22T18:40:00.000+0000,1024559.3464150643,950177.0007344243,1049744.9911720988
2025-04-22T18:50:00.000+0000,1024465.2709357043,950177.0007344243,1050971.9901534636
2025-04-22T19:00:00.000+0000,1024778.8558669044,950177.0007344243,1051615.892615011
2025-04-22T19:10:00.000+0000,1024684.7803875443,950177.0007344243,1051270.0038048546
2025-04-22T19:20:00.000+0000,1024235.3086528244,950177.0007344243,1049681.1888350795
2025-04-22T19:30:00.000+0000,1024350.2897942644,950177.0007344243,1044160.1834466972
2025-04-22T19:40:00.000+0000,1024669.1011409843,950177.0007344243,1044433.2435917028
2025-04-22T19:50:00.000+0000,1025275.3653413043,950177.0007344243,1046735.430875458
2025-04-22T20:00:00.000+0000,1025609.8559345844,950177.0007344243,1047585.4404826965
2025-04-22T20:10:00.000+0000,1026163.8559797043,950177.0007344243,1046382.2929086167
2025-04-22T20:20:00.000+0000,1026602.8748833843,950177.0007344243,1046372.8385560564
2025-04-22T20:30:00.000+0000,1025855.4974640243,950177.0007344243,1047503.178152596
2025-04-22T20:40:00.000+0000,1025881.6295416243,950177.0007344243,1047886.6296026234
2025-04-22T20:50:00.000+0000,1025698.7049984244,950177.0007344243,1047552.2273074233
2025-04-22T21:00:00.000+0000,1025996.6106830643,950177.0007344243,1047361.956301623
2025-04-22T21:10:00.000+0000,1026289.2899521843,950177.0007344243,1048995.737264689
2025-04-22T21:20:00.000+0000,1026791.0258421043,950177.0007344243,1053236.8179267468
2025-04-22T21:30:00.000+0000,1026900.7805680244,950177.0007344243,1054095.8608218217
2025-04-22T21:40:00.000+0000,1026932.1390611443,950177.0007344243,1056828.5759612492
2025-04-22T21:50:00.000+0000,1027773.5919598644,950177.0007344243,1071977.9893909122
2025-04-22T22:00:00.000+0000,1028045.3655669043,950177.0007344243,1071762.619297889
2025-04-22T22:10:00.000+0000,1028641.1769361844,950177.0007344243,1070063.47009454
2025-04-22T22:20:00.000+0000,1029054.0637622643,950177.0007344243,1074048.7520911994
2025-04-22T22:30:00.000+0000,1027919.9315944243,950177.0007344243,1069123.317749364
2025-04-22T22:40:00.000+0000,1027841.5353616243,950177.0007344243,1068983.0199276977
2025-04-22T22:50:00.000+0000,1027778.8183753843,950177.0007344243,1071113.500461984
2025-04-22T23:00:00.000+0000,1028168.1863316243,989100.7303196243,1076356.41849179
2025-04-22T23:10:00.000+0000,1028270.1014342642,1028270.1014342642,1076387.769919694
2025-04-22T23:20:00.000+0000,1028270.1014342642,1028270.1014342642,1074926.8639670487
2025-04-22T23:30:00.000+0000,1028270.1014342642,1028270.1014342642,1079094.2601425583
2025-04-22T23:40:00.000+0000,1028270.1014342642,1028270.1014342642,1079956.6038632637
2025-04-22T23:50:00.000+0000,1028270.1014342642,1028270.1014342642,1079637.3372321934
2025-04-23T00:00:00.000+0000,1028270.1014342642,1028270.1014342642,1078113.8173975619
2025-04-23T00:10:00.000+0000,1027936.9323754644,981216.3902342643,1078232.8107249774
2025-04-23T00:20:00.000+0000,1027432.8445260883,813497.5644583444,1078082.1221836843
2025-04-23T00:30:00.000+0000,1028337.6570365363,1028337.6570365363,1076529.849586289
2025-04-23T00:40:00.000+0000,1028337.6570365363,1028337.6570365363,1073693.2971691363
2025-04-23T00:50:00.000+0000,1028337.6570365363,1028337.6570365363,1073784.6622290895
2025-04-23T01:00:00.000+0000,1028337.6570365363,1028337.6570365363,1073383.8790290481
2025-04-23T01:10:00.000+0000,1028337.6570365363,1028337.6570365363,1081724.1510137534
2025-04-23T01:20:00.000+0000,1028337.6570365363,1028337.6570365363,1079473.1363950793
2025-04-23T01:30:00.000+0000,1028337.6570365363,1028337.6570365363,1080517.7848190996
2025-04-23T01:40:00.000+0000,1028337.6570365363,1028337.6570365363,1078578.7494363966
