date,total_balance_normal,unlocked_balance_normal,benchmark
2025-03-03T19:10:00.000+0000,1000000.0,1000000.0,999999.9999999999
2025-03-03T19:20:00.000+0000,999264.9128586402,961066.3195000002,999999.9999999999
2025-03-03T19:30:00.000+0000,999044.1117409603,961066.3195000002,999999.9999999999
2025-03-03T19:40:00.000+0000,999328.3111993602,961066.3195000002,999999.9999999999
2025-03-03T19:50:00.000+0000,999380.7787916802,961066.3195000002,999999.9999999999
2025-03-03T20:00:00.000+0000,999662.4695452002,960663.1255000002,999999.9999999999
2025-03-03T20:10:00.000+0000,999513.8113669602,960663.1255000002,999999.9999999999
2025-03-03T20:20:00.000+0000,999603.4435038402,960663.1255000002,999999.9999999999
2025-03-03T20:30:00.000+0000,999763.0324304802,960663.1255000002,999999.9999999999
2025-03-03T20:40:00.000+0000,999568.4651089602,960663.1255000002,999999.9999999999
2025-03-03T20:50:00.000+0000,999773.9631788802,960663.1255000002,999999.9999999999
2025-03-03T21:00:00.000+0000,999546.6036121602,960663.1255000002,999999.9999999999
2025-03-03T21:10:00.000+0000,999214.3088608002,960663.1255000002,999999.9999999999
2025-03-03T21:20:00.000+0000,999443.8545772003,960663.1255000002,999999.9999999999
2025-03-03T21:30:00.000+0000,999446.0186987203,960635.5903000002,999999.9999999999
2025-03-03T21:40:00.000+0000,999347.6419631202,961038.4617448002,999999.9999999999
2025-03-03T21:50:00.000+0000,999996.9284180802,961038.4617448002,999999.9999999999
2025-03-03T22:00:00.000+0000,1000007.8591664803,961038.4617448002,999999.9999999999
2025-03-03T22:10:00.000+0000,1000075.6298065602,961038.4617448002,999999.9999999999
2025-03-03T22:20:00.000+0000,999992.5561187202,961038.4617448002,999999.9999999999
2025-03-03T22:30:00.000+0000,999874.5040360002,961038.4617448002,999999.9999999999
2025-03-03T22:40:00.000+0000,999968.5084722402,961038.4617448002,999999.9999999999
2025-03-03T22:50:00.000+0000,999813.2918449602,961038.4617448002,999999.9999999999
2025-03-03T23:00:00.000+0000,999802.3610965603,961038.4617448002,999999.9999999999
2025-03-03T23:10:00.000+0000,999905.1101315202,961038.4617448002,999999.9999999999
