date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-14T18:30:00.000+0000,1000000.0,1000000.0,998519.7301320463,1000000,1000000,1000000.0,1000000.0
2025-04-14T18:40:00.000+0000,1000000.0,1000000.0,997447.8556818997,1000000,1000000,1000000.0,1000000.0
2025-04-14T18:50:00.000+0000,1000000.0,1000000.0,999272.3110707228,1000000,1000000,1000000.0,1000000.0
2025-04-14T19:00:00.000+0000,1000000.0,1000000.0,1002108.0670665188,1000000,1000000,1000000.0,1000000.0
2025-04-14T19:10:00.000+0000,1000000.0,1000000.0,1002426.5957891867,1000000,1000000,1000000.0,1000000.0
2025-04-14T19:20:00.000+0000,1000000.0,1000000.0,1002050.8509695345,1000000,1000000,1000000.0,1000000.0
2025-04-14T19:30:00.000+0000,1000000.0,1000000.0,1001243.8055349868,1000000,1000000,1000000.0,1000000.0
2025-04-14T19:40:00.000+0000,1000000.0,1000000.0,1002818.2936049191,1000000,1000000,1000000.0,1000000.0
2025-04-14T19:50:00.000+0000,1000000.0,1000000.0,999387.1762974951,1000000,1000000,1000000.0,1000000.0
2025-04-14T20:00:00.000+0000,1000000.0,1000000.0,998137.3158969565,1000000,1000000,1000000.0,1000000.0
2025-04-14T20:10:00.000+0000,1000000.0,1000000.0,997939.5480738534,1000000,1000000,1000000.0,1000000.0
2025-04-14T20:20:00.000+0000,1000000.0,1000000.0,994774.5562433989,1000000,1000000,1000000.0,1000000.0
2025-04-14T20:30:00.000+0000,1000000.0,1000000.0,995212.6832444125,1000000,1000000,1000000.0,1000000.0
2025-04-14T20:40:00.000+0000,1000000.0,1000000.0,996120.3891783314,1000000,1000000,1000000.0,1000000.0
2025-04-14T20:50:00.000+0000,1000000.0,1000000.0,998609.784864756,1000000,1000000,1000000.0,1000000.0
2025-04-14T21:00:00.000+0000,1000000.0,1000000.0,996837.3537062772,1000000,1000000,1000000.0,1000000.0
2025-04-14T21:10:00.000+0000,1000000.0,1000000.0,996807.2600476025,1000000,1000000,1000000.0,1000000.0
2025-04-14T21:20:00.000+0000,1000000.0,1000000.0,996002.4573652525,1000000,1000000,1000000.0,1000000.0
2025-04-14T21:30:00.000+0000,1000000.0,1000000.0,990265.6869232573,1000000,1000000,1000000.0,1000000.0
2025-04-14T21:40:00.000+0000,1000000.0,1000000.0,989977.8680287282,1000000,1000000,1000000.0,1000000.0
2025-04-14T21:50:00.000+0000,1000000.0,1000000.0,991927.4626161926,1000000,1000000,1000000.0,1000000.0
2025-04-14T22:00:00.000+0000,1000000.0,1000000.0,992640.3482757229,1000000,1000000,1000000.0,1000000.0
2025-04-14T22:10:00.000+0000,1000000.0,1000000.0,991548.856080797,1000000,1000000,1000000.0,1000000.0
2025-04-14T22:20:00.000+0000,1000000.0,1000000.0,990318.491336171,1000000,1000000,1000000.0,1000000.0
2025-04-14T22:30:00.000+0000,1000000.0,1000000.0,991119.2001325262,1000000,1000000,1000000.0,1000000.0
2025-04-14T22:40:00.000+0000,1000000.0,1000000.0,993198.5353446044,1000000,1000000,1000000.0,1000000.0
2025-04-14T22:50:00.000+0000,1000000.0,1000000.0,992912.7931132205,1000000,1000000,1000000.0,1000000.0
