date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-22T18:10:00.000+0000,1000000.0,1000000.0,999035.96753926,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-22T18:20:00.000+0000,999512.6629750228,350873.33792439394,998629.6636678951,999957.9448406077,965334.5414999998,999749.5554648271,679617.8092249967
2025-04-22T18:30:00.000+0000,999452.237542432,338894.8801564667,998749.2011275911,999855.6289347757,945130.4339672714,999772.831584246,679337.9663789165
2025-04-22T18:40:00.000+0000,999717.2021130646,342642.9535121549,999283.160889051,999692.9695774552,930243.3164957752,999932.8526782304,686223.572277238
2025-04-22T18:50:00.000+0000,1000197.3599570685,412328.2898965522,1000446.8698773182,999571.4037504717,930577.9226964955,1000285.2162336931,729252.96642506
2025-04-22T19:00:00.000+0000,1001018.2107706518,412330.65678152826,1001085.1412535335,999523.1801402476,930580.1503529436,1000721.2764861893,729252.96642506
2025-04-22T19:10:00.000+0000,1000737.4355486707,412330.65678152826,1000750.4929501867,999471.3364683917,930580.1503529436,1000610.1707459462,729252.96642506
2025-04-22T19:20:00.000+0000,1000465.4048114985,412330.65678152826,999248.3666817134,999634.6310081675,930580.1503529436,1000364.7482011779,729252.96642506
2025-04-22T19:30:00.000+0000,998232.3826555028,412330.65678152826,993998.9932078448,999633.7859347676,930580.1503529436,999039.5171068804,729252.96642506
2025-04-22T19:40:00.000+0000,998308.4865916078,412330.65678152826,994269.4985263282,999591.4111517356,930580.1503529436,999094.1670079555,729252.96642506
2025-04-22T19:50:00.000+0000,999099.088833424,412330.65678152826,996454.4833222257,999597.3051827356,930580.1503529436,999715.6003432516,729252.96642506
2025-04-22T20:00:00.000+0000,998904.145267899,202997.01641510794,997241.8129280598,999492.3006517916,929861.9477332316,999297.0384209977,404306.4356873045
2025-04-22T20:10:00.000+0000,997947.8591974794,203733.99356143575,996095.078757162,999401.5662761995,930861.1162574958,998744.1358624389,404391.3132309044
2025-04-22T20:20:00.000+0000,997780.4313128155,224310.11220220337,996078.3679863464,999347.058086648,930450.780737448,998903.6046412734,414415.5225528146
2025-04-22T20:30:00.000+0000,998110.465540042,307678.31989091914,997143.9103260671,999412.788999816,931260.608596456,999264.8790333578,459031.07228921104
2025-04-22T20:40:00.000+0000,998145.7049959069,318461.06253032753,997511.898045065,999351.3327042161,931360.4292360081,999305.5392891108,464674.0645809712
2025-04-22T20:50:00.000+0000,998255.2040205526,318461.06253032753,997207.3294128065,999633.9937643202,931360.4292360081,998775.755839204,464674.0645809712
2025-04-22T21:00:00.000+0000,998136.0001060355,318461.06253032753,997021.7975920656,999462.272071664,931360.4292360081,998840.1086517344,464674.0645809712
2025-04-22T21:10:00.000+0000,998859.9145268215,318461.06253032753,998573.106183541,999270.167168632,931360.4292360081,999673.1660682173,464674.0645809712
2025-04-22T21:20:00.000+0000,1000566.7253329427,318461.06253032753,1002561.1093437051,998680.403777096,931360.4292360081,1002560.3489306507,464674.0645809712
2025-04-22T21:30:00.000+0000,1000635.5563440488,318461.06253032753,1003346.4346886781,998837.0953035121,931360.4292360081,1003391.9973692199,464674.0645809712
2025-04-22T21:40:00.000+0000,1001724.5262985846,318461.06253032753,1005936.487303281,997658.3335679122,931360.4292360081,1004846.8029209564,464674.0645809712
2025-04-22T21:50:00.000+0000,1009876.6878258021,318461.06253032753,1020339.6095691421,997622.3064027202,931360.4292360081,1012891.6634157281,464674.0645809712
2025-04-22T22:00:00.000+0000,1010212.5832523159,318461.06253032753,1020168.8416177875,997503.25566956,931360.4292360081,1012735.1323408481,464674.0645809712
2025-04-22T22:10:00.000+0000,1009260.7382879552,318461.06253032753,1018539.5853144585,997423.1085585841,931360.4292360081,1012010.1126909518,464674.0645809712
2025-04-22T22:20:00.000+0000,1010888.9104853343,318461.06253032753,1022340.2876228562,997335.784184016,931360.4292360081,1013765.8358758418,464674.0645809712
2025-04-22T22:30:00.000+0000,1008834.0453496102,318461.06253032753,1017670.3314057046,997437.9532433279,931360.4292360081,1011072.7884347255,464674.0645809712
2025-04-22T22:40:00.000+0000,1008819.2440980902,318461.06253032753,1017544.2861610388,997865.8440466162,931360.4292360081,1010893.4952621025,464674.0645809712
2025-04-22T22:50:00.000+0000,1009756.2228949075,318461.06253032753,1019571.1291125021,997666.1737207682,931360.4292360081,1011800.1089704388,464674.0645809712
2025-04-22T23:00:00.000+0000,1012201.4375929579,318461.06253032753,1024578.1890000959,997216.848208976,931360.4292360081,1013761.0323317534,464674.0645809712
2025-04-22T23:10:00.000+0000,1012389.8943108738,318461.06253032753,1024604.464569843,997140.494370952,931360.4292360081,1014122.3306556786,464674.0645809712
2025-04-22T23:20:00.000+0000,1011597.1920324323,318461.06253032753,1023214.2683724705,997113.1520123521,931360.4292360081,1013377.6781866121,464674.0645809712
2025-04-22T23:30:00.000+0000,1013917.8822298431,318461.06253032753,1027175.9722028915,996882.687691424,931360.4292360081,1015951.4879362556,464674.0645809712
2025-04-22T23:40:00.000+0000,1014197.5037135556,318461.06253032753,1027988.9607677076,996859.8819506239,931360.4292360081,1016611.8222658404,464674.0645809712
2025-04-22T23:50:00.000+0000,1013740.7256725598,318461.06253032753,1027682.2264162902,996806.6720826001,931360.4292360081,1016273.4611074912,464674.0645809712
2025-04-23T00:00:00.000+0000,1012924.2675360213,318461.06253032753,1026252.8038280439,996510.4477218242,931360.4292360081,1015347.7031688015,464674.0645809712
2025-04-23T00:10:00.000+0000,1013106.6937801805,318461.06253032753,1026366.4205581712,996083.3202573763,931360.4292360081,1015394.4949474086,464674.0645809712
2025-04-23T00:20:00.000+0000,1012766.0201652774,318461.06253032753,1026212.3400870217,995959.134725344,931360.4292360081,1015389.2858760012,464674.0645809712
2025-04-23T00:30:00.000+0000,1012216.0283330199,318461.06253032753,1024729.0213490857,996605.9768773122,931360.4292360081,1014688.760526976,464674.0645809712
2025-04-23T00:40:00.000+0000,1011339.1157227827,318461.06253032753,1022032.2611200025,997015.2751665199,931360.4292360081,1013260.4637572339,464674.0645809712
2025-04-23T00:50:00.000+0000,1010924.3322971972,318461.06253032753,1022107.7177152628,997659.7232452802,931360.4292360081,1013369.7748303595,464674.0645809712
2025-04-23T01:00:00.000+0000,1010940.3032022421,318461.06253032753,1021718.7881475096,996913.7408590001,931360.4292360081,1013304.0238952221,464674.0645809712
2025-04-23T01:10:00.000+0000,1014101.2277100254,318461.06253032753,1029579.5039072114,996699.3290857519,931360.4292360081,1018427.791591229,464674.0645809712
2025-04-23T01:20:00.000+0000,1013265.6953870518,318461.06253032753,1027462.245694921,996590.0040558001,931360.4292360081,1017120.1834013199,464674.0645809712
2025-04-23T01:30:00.000+0000,1013462.310465056,318461.06253032753,1028433.2492497434,996710.613271176,931360.4292360081,1017923.6030869714,464674.0645809712
2025-04-23T01:40:00.000+0000,1012373.2504086571,318461.06253032753,1026579.9619513897,997020.1382129681,931360.4292360081,1017025.1561779648,464674.0645809712
2025-04-23T01:50:00.000+0000,1010645.1627036833,318461.06253032753,1023129.6616164804,997155.9135457361,931360.4292360081,1015245.1024351062,464674.0645809712
2025-04-23T02:00:00.000+0000,1010708.8881744879,315260.63013032736,1023298.4099698777,996798.2493977123,824251.0714286963,1015256.0075899962,464674.0645809712
2025-04-23T02:10:00.000+0000,1011895.2586082218,397984.093907702,1025846.1877873032,996331.9710618963,778573.9487340072,1016940.9321430048,566541.8074689726
2025-04-23T02:20:00.000+0000,1009483.2112138822,47.06571497035769,1030822.6431010998,990927.2164609267,483702.30151673604,1019831.2072936255,83043.37101769491
2025-04-23T02:30:00.000+0000,1010646.7121302218,83420.50466208988,1031232.5698968337,993460.3940463297,569046.5428796002,1019914.9562955946,101629.66108089407
2025-04-23T02:40:00.000+0000,1009805.5960418393,100819.00759578553,1033002.9336401727,990524.3287191774,585343.8549313293,1020848.6778023294,101887.48345785392
2025-04-23T02:50:00.000+0000,1009704.817784992,100819.00759578553,1032390.297105834,990413.4248333212,585343.8549313293,1020810.5359422485,101887.48345785392
2025-04-23T03:00:00.000+0000,1010725.6305009762,100819.00759578553,1030267.4499530866,993182.3588825453,585343.8549313293,1018938.6399160412,101887.48345785392
2025-04-23T03:10:00.000+0000,1011405.4543664509,100819.00759578553,1029049.3739193482,994428.9412382093,585343.8549313293,1017857.3060237624,101887.48345785392
2025-04-23T03:20:00.000+0000,1011124.841106795,100819.00759578553,1030208.1187098869,993375.0988671057,585343.8549313293,1018996.2635782047,101887.48345785392
2025-04-23T03:30:00.000+0000,1010846.4136770745,100819.00759578553,1030698.938026431,992382.5900398818,585343.8549313293,1019123.6384986818,101887.48345785392
2025-04-23T03:40:00.000+0000,1010350.7569019704,100819.00759578553,1033569.4769258453,991722.3513337371,585343.8549313293,1021454.5378062646,101887.48345785392
2025-04-23T03:50:00.000+0000,1010298.7426906517,100819.00759578553,1034269.500055524,990853.4299873705,585343.8549313293,1022043.5249612873,101887.48345785392
2025-04-23T04:00:00.000+0000,1010160.3602572349,100819.00759578553,1034638.206927861,990501.1990177534,585343.8549313293,1022519.9664349407,101887.48345785392
2025-04-23T04:10:00.000+0000,1010984.1905872968,100819.00759578553,1032719.9240229749,991807.5412772163,585343.8549313293,1020895.6235596543,101887.48345785392
2025-04-23T04:20:00.000+0000,1010924.9178034891,100819.00759578553,1031335.8577578034,992656.4482479051,585343.8549313293,1020145.8970290873,101887.48345785392
2025-04-23T04:30:00.000+0000,1011819.0069135253,100819.00759578553,1032576.7943539608,992427.2365940403,585343.8549313293,1021169.8567974155,101887.48345785392
2025-04-23T04:40:00.000+0000,1012361.786919863,100819.00759578553,1035957.4526515987,991237.2894339461,585343.8549313293,1022917.597543368,101887.48345785392
2025-04-23T04:50:00.000+0000,1011432.7055860204,100819.00759578553,1040244.6452733785,986751.7727103535,585343.8549313293,1025608.9429771801,101887.48345785392
2025-04-23T05:00:00.000+0000,1011348.5875223507,100819.00759578553,1040962.229800643,987556.1446376004,585343.8549313293,1026851.8311745389,101887.48345785392
2025-04-23T05:10:00.000+0000,1011319.4291457264,100819.00759578553,1039446.8759293559,988021.2330789528,585343.8549313293,1025379.2102205311,101887.48345785392
2025-04-23T05:20:00.000+0000,1012463.1377922517,100819.00759578553,1040496.3494194716,990092.2951327704,585343.8549313293,1025928.1241198265,101887.48345785392
2025-04-23T05:30:00.000+0000,1011774.0793743372,100819.00759578553,1040761.1475726156,989040.8877820885,585343.8549313293,1026184.9988774876,101887.48345785392
2025-04-23T05:40:00.000+0000,1011682.1284979329,100819.00759578553,1042123.7514944901,988767.3330211133,585343.8549313293,1026684.3063976608,101887.48345785392
2025-04-23T05:50:00.000+0000,1013130.611791527,100819.00759578553,1040290.6012246276,990812.4293741205,585343.8549313293,1026097.74598369,101887.48345785392
