date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-15T21:20:00.000+0000,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-15T21:30:00.000+0000,999605.7507083998,507188.38549999986,1000323.3692834456,999617.86533816,522331.67269999994,1000000.0,1000000.0
2025-04-15T21:40:00.000+0000,998910.1656219999,512487.51470247994,1001096.2919148422,998943.6541389601,527467.7625384,1000000.0,1000000.0
2025-04-15T21:50:00.000+0000,999406.9340890398,585029.59427472,999485.2710702256,999425.1583272001,597781.3316464,1000000.0,1000000.0
2025-04-15T22:00:00.000+0000,1000442.29134008,743593.5504476001,996628.5048368522,1000428.7024491201,751471.6324652001,1000000.0,1000000.0
2025-04-15T22:10:00.000+0000,1000442.29134008,1000442.29134008,995224.6162282419,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-15T22:20:00.000+0000,1000442.29134008,1000442.29134008,992775.1843265975,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-15T22:30:00.000+0000,1000442.29134008,1000442.29134008,994739.2125664158,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-15T22:40:00.000+0000,1000442.29134008,1000442.29134008,991606.3270451773,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-15T22:50:00.000+0000,1000442.29134008,1000442.29134008,989918.6385977515,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-15T23:00:00.000+0000,1000442.29134008,1000442.29134008,991433.7018517593,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-15T23:10:00.000+0000,1000442.29134008,1000442.29134008,992188.2975581763,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-15T23:20:00.000+0000,1000442.29134008,1000442.29134008,993680.3546447677,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-15T23:30:00.000+0000,1000442.29134008,1000442.29134008,993544.3792866492,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-15T23:40:00.000+0000,1000442.29134008,1000442.29134008,990937.1051963959,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-15T23:50:00.000+0000,1000442.29134008,1000442.29134008,990050.8397297305,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T00:00:00.000+0000,1000442.29134008,1000442.29134008,989119.2358611848,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T00:10:00.000+0000,1000442.29134008,1000442.29134008,986051.1649215261,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T00:20:00.000+0000,1000442.29134008,1000442.29134008,986731.2226898737,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T00:30:00.000+0000,1000442.29134008,1000442.29134008,990940.5934146297,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T00:40:00.000+0000,1000442.29134008,1000442.29134008,989234.0991350595,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T00:50:00.000+0000,1000442.29134008,1000442.29134008,984701.0460853769,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T01:00:00.000+0000,1000442.29134008,1000442.29134008,985507.8891763237,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T01:10:00.000+0000,1000442.29134008,1000442.29134008,988407.4822480844,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T01:20:00.000+0000,1000442.29134008,1000442.29134008,990484.7961624528,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T01:30:00.000+0000,1000442.29134008,1000442.29134008,988121.6923542707,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T01:40:00.000+0000,1000442.29134008,1000442.29134008,988566.7156122713,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T01:50:00.000+0000,1000442.29134008,1000442.29134008,991544.5429321295,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T02:00:00.000+0000,1000442.29134008,1000442.29134008,993180.7887034887,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T02:10:00.000+0000,1000442.29134008,1000442.29134008,992799.1289095129,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T02:20:00.000+0000,1000442.29134008,1000442.29134008,993169.5807755135,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T02:30:00.000+0000,1000442.29134008,1000442.29134008,992567.8323904604,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T02:40:00.000+0000,1000442.29134008,1000442.29134008,991283.9757837148,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T02:50:00.000+0000,1000442.29134008,1000442.29134008,992666.1218624329,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T03:00:00.000+0000,1000442.29134008,1000442.29134008,994706.4557846683,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T03:10:00.000+0000,1000442.29134008,1000442.29134008,996355.1800875824,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T03:20:00.000+0000,1000442.29134008,1000442.29134008,993976.848189339,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T03:30:00.000+0000,1000442.29134008,1000442.29134008,993217.1994258667,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T03:40:00.000+0000,1000442.29134008,1000442.29134008,991891.9212046885,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T03:50:00.000+0000,1000442.29134008,1000442.29134008,991456.9644723162,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T04:00:00.000+0000,1000442.29134008,1000442.29134008,991338.2372165208,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T04:10:00.000+0000,1000442.29134008,1000442.29134008,987684.335680422,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T04:20:00.000+0000,1000442.29134008,1000442.29134008,986303.0609591599,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T04:30:00.000+0000,1000442.29134008,1000442.29134008,986338.8604786284,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T04:40:00.000+0000,1000442.29134008,1000442.29134008,985231.7235310802,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T04:50:00.000+0000,1000442.29134008,1000442.29134008,987751.7809116031,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T05:00:00.000+0000,1000442.29134008,1000442.29134008,990122.2850833565,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T05:10:00.000+0000,1000442.29134008,1000442.29134008,990988.4625878825,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T05:20:00.000+0000,1000442.29134008,1000442.29134008,980343.731418767,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T05:30:00.000+0000,1000442.29134008,1000442.29134008,979673.105463938,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T05:40:00.000+0000,1000442.29134008,1000442.29134008,984024.552726402,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T05:50:00.000+0000,1000442.29134008,1000442.29134008,983692.2034762632,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T06:00:00.000+0000,1000442.29134008,1000442.29134008,982584.0064848474,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T06:10:00.000+0000,1000442.29134008,1000442.29134008,982944.0639311366,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
2025-04-16T06:20:00.000+0000,1000442.29134008,1000442.29134008,985615.782598186,1000428.7024491201,1000428.7024491201,1000000.0,1000000.0
