date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-09T17:20:00.000+0000,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2025-04-09T17:30:00.000+0000,996492.2168816801,409232.87760000007,1029790.365012106,1000000.0,1000000.0,998081.1588272802,676836.2696000001
2025-04-09T17:40:00.000+0000,994920.0063571201,409232.87760000007,1032639.11173613,1000000.0,1000000.0,997221.1221075201,676836.2696000001
2025-04-09T17:50:00.000+0000,997847.3711902401,409232.87760000007,1041473.7087260613,1000000.0,1000000.0,998822.46061104,676836.2696000001
2025-04-09T18:00:00.000+0000,1001014.9449024,409232.87760000007,1049135.801806825,1000000.0,1000000.0,1000555.1991104002,676836.2696000001
2025-04-09T18:10:00.000+0000,1003844.6344383201,409232.87760000007,1054004.5063411877,1000000.0,1000000.0,1002103.1068927201,676836.2696000001
2025-04-09T18:20:00.000+0000,1005857.4690813601,409232.87760000007,1064226.2151289785,1000000.0,1000000.0,1003204.1755325601,676836.2696000001
2025-04-09T18:30:00.000+0000,1004545.7260160001,409232.87760000007,1061990.9887876778,1000000.0,1000000.0,1002486.6207360001,676836.2696000001
2025-04-09T18:40:00.000+0000,1002048.13249056,409232.87760000007,1052285.5787321941,1000000.0,1000000.0,1001120.3774057601,676836.2696000001
2025-04-09T18:50:00.000+0000,1000711.0662,409232.87760000007,1049659.1613487743,1000000.0,1000000.0,1000388.9702000001,676836.2696000001
2025-04-09T19:00:00.000+0000,1000711.0662000001,1000711.0662000001,1050628.5238433562,1000000.0,1000000.0,1000388.9702,1000388.9702
2025-04-09T19:10:00.000+0000,1000211.8851155209,882076.2224640001,1054737.0982878236,999750.5871674703,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T19:20:00.000+0000,999924.7925464625,882076.2224640001,1059304.1356215836,999607.1430886111,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T19:30:00.000+0000,999901.3564183761,882076.2224640001,1057793.5491032666,999595.4333678879,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T19:40:00.000+0000,1000176.7309233913,882076.2224640001,1056461.8190423064,999733.0225863855,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T19:50:00.000+0000,1000088.8454430674,882076.2224640001,1057054.1017179796,999689.1111336735,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T20:00:00.000+0000,999696.2902976201,882076.2224640001,1059003.320742689,999492.9733115599,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T20:10:00.000+0000,999379.9025684537,882076.2224640001,1059859.977764741,999334.8920817967,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T20:20:00.000+0000,999303.735152173,882076.2224640001,1057790.3857402685,999296.8354894462,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T20:30:00.000+0000,999461.9290167561,882076.2224640001,1058248.6228932654,999375.8761043279,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T20:40:00.000+0000,999338.8893443025,882076.2224640001,1061429.3520880141,999314.4000705311,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T20:50:00.000+0000,999040.078711201,882076.2224640001,1064106.8455775185,999165.1011313102,940724.8124319998,1000388.9702,1000388.9702
2025-04-09T21:00:00.000+0000,998711.9729179913,882076.2224640001,1067119.735331012,999001.1650411854,940724.8124319998,1000388.9702,1000388.9702
