date,total_balance_normal,unlocked_balance_normal,benchmark,total_balance_short_only,unlocked_balance_short_only,total_balance_long_only,unlocked_balance_long_only
2025-04-11T08:40:00.000+0000,1000000.0,1000000.0,997482.643867505,1000000.0,1000000.0,1000000,1000000
2025-04-11T08:50:00.000+0000,999199.4584230401,597068.4495999999,997712.1113745414,999599.89113336,798615.7238999999,1000000,1000000
2025-04-11T09:00:00.000+0000,999011.24271616,597068.4495999999,997432.9555083622,999505.8213494399,798615.7238999999,1000000,1000000
2025-04-11T09:10:00.000+0000,999022.6048192001,597068.4495999999,996905.8419711903,999511.5001027999,798615.7238999999,1000000,1000000
2025-04-11T09:20:00.000+0000,996941.3639449601,597068.4495999999,999160.0538737874,998471.3006286399,798615.7238999999,1000000,1000000
2025-04-11T09:30:00.000+0000,996002.26142848,597068.4495999999,1004065.4235521127,998001.9393183199,798615.7238999999,1000000,1000000
2025-04-11T09:40:00.000+0000,995736.48701824,597068.4495999999,1005292.6644387584,997869.1058701599,798615.7238999999,1000000,1000000
2025-04-11T09:50:00.000+0000,995227.16839936,597068.4495999999,1005774.8056080742,997614.5495782399,798615.7238999999,1000000,1000000
2025-04-11T10:00:00.000+0000,994851.23099008,597068.4495999999,1004892.1988582683,997426.65691272,798615.7238999999,1000000,1000000
2025-04-11T10:10:00.000+0000,993782.69929984,597068.4495999999,1005127.3691866852,996892.6071945599,798615.7238999999,1000000,1000000
2025-04-11T10:20:00.000+0000,993379.09763968,597068.4495999999,1009584.8381372232,996690.8879991199,798615.7238999999,1000000,1000000
2025-04-11T10:30:00.000+0000,992693.4194214401,597068.4495999999,1010721.094074433,996348.1875789599,798615.7238999999,1000000,1000000
2025-04-11T10:40:00.000+0000,993822.21965824,597068.4495999999,1008549.552790961,996912.3593801599,798615.7238999999,1000000,1000000
2025-04-11T10:50:00.000+0000,993748.1189862401,597068.4495999999,1008759.9873860218,996875.32403216,798615.7238999999,1000000,1000000
2025-04-11T11:00:00.000+0000,993281.2847526401,597068.4495999999,1010327.4556903389,996642.0013397599,798615.7238999999,1000000,1000000
2025-04-11T11:10:00.000+0000,993037.24653952,597068.4495999999,1008464.7302563791,996520.0315936799,798615.7238999999,1000000,1000000
2025-04-11T11:20:00.000+0000,994450.09935232,597068.4495999999,1006466.7561545465,997226.1722288799,798615.7238999999,1000000,1000000
2025-04-11T11:30:00.000+0000,995199.50414848,597068.4495999999,1004627.8009242318,997600.7230483199,798615.7238999999,1000000,1000000
2025-04-11T11:40:00.000+0000,995854.55408896,597068.4495999999,1005496.2269299575,997928.1155246398,798615.7238999999,1000000,1000000
2025-04-11T11:50:00.000+0000,996343.61852416,597068.4495999999,1003127.7623816498,998172.54882144,798615.7238999999,1000000,1000000
2025-04-11T12:00:00.000+0000,996076.3621004799,597068.4495999999,1003572.3826752633,998038.9746663199,798615.7238999999,1000000,1000000
2025-04-11T12:10:00.000+0000,996698.80774528,597068.4495999999,1003630.7903359607,998350.07158952,798615.7238999999,1000000,1000000
2025-04-11T12:20:00.000+0000,996055.11990784,597068.4495999999,1005327.338618012,998028.3578665599,798615.7238999999,1000000,1000000
2025-04-11T12:30:00.000+0000,995704.37672704,597068.4495999999,1008325.0470996408,997853.0572193599,798615.7238999999,1000000,1000000
2025-04-11T12:40:00.000+0000,995829.85386496,597068.4495999999,1005217.9503298489,997915.7704086399,798615.7238999999,1000000,1000000
2025-04-11T12:50:00.000+0000,996739.81011712,597068.4495999999,1002423.1147132051,998370.5644820799,798615.7238999999,1000000,1000000
2025-04-11T13:00:00.000+0000,996593.09078656,597068.4495999999,1002902.0030575078,998297.2344930399,798615.7238999999,1000000,1000000
2025-04-11T13:10:00.000+0000,997311.86730496,597068.4495999999,1002786.9163391122,998656.4773686399,798615.7238999999,1000000,1000000
2025-04-11T13:20:00.000+0000,996507.1340070401,597068.4495999999,1004457.8317601825,998254.27348936,798615.7238999999,1000000,1000000
2025-04-11T13:30:00.000+0000,991077.53076736,597068.4495999999,1005791.0901949649,995540.5700902399,798615.7238999999,1000000,1000000
2025-04-11T13:40:00.000+0000,991651.56397312,597068.4495999999,1016418.839229405,995827.4705860799,798615.7238999999,1000000,1000000
2025-04-11T13:50:00.000+0000,992480.50349056,597068.4495999999,1015467.8950458695,996241.77267904,798615.7238999999,1000000,1000000
2025-04-11T14:00:00.000+0000,993695.26050688,597068.4495999999,1009973.5314134447,996848.9054839199,798615.7238999999,1000000,1000000
2025-04-11T14:10:00.000+0000,993989.68717696,597068.4495999999,1010344.3401230169,996996.0592666399,798615.7238999999,1000000,1000000
2025-04-11T14:20:00.000+0000,996944.82197632,597068.4495999999,999938.2417343273,998473.0289448799,798615.7238999999,1000000,1000000
2025-04-11T14:30:00.000+0000,997330.6394752001,597068.4495999999,1005018.481333357,998665.8596567999,798615.7238999999,1000000,1000000
2025-04-11T14:40:00.000+0000,995968.1751193601,597068.4495999999,1007222.5427265214,997984.90305824,798615.7238999999,1000000,1000000
2025-04-11T14:50:00.000+0000,996988.29437056,597068.4495999999,1007505.141974736,998494.75634904,798615.7238999999,1000000,1000000
2025-04-11T15:00:00.000+0000,997203.6803238401,597068.4495999999,1005917.0739867697,998602.40576056,798615.7238999999,1000000,1000000
2025-04-11T15:10:00.000+0000,997242.21267328,597068.4495999999,1005043.545438335,998621.6641415199,798615.7238999999,1000000,1000000
2025-04-11T15:20:00.000+0000,996507.1340070401,597068.4495999999,1005655.9582018456,998254.27348936,798615.7238999999,1000000,1000000
2025-04-11T15:30:00.000+0000,994112.200288,597068.4495999999,1010325.6160473144,997057.2910419999,798615.7238999999,1000000,1000000
2025-04-11T15:40:00.000+0000,994506.4158630401,597068.4495999999,1013054.4139019214,997254.3190933599,798615.7238999999,1000000,1000000
2025-04-11T15:50:00.000+0000,994638.80906368,597068.4495999999,1013230.9073766242,997320.4889151199,798615.7238999999,1000000,1000000
2025-04-11T16:00:00.000+0000,994320.17617408,597068.4495999999,1009847.9468858289,997161.23691872,798615.7238999999,1000000,1000000
2025-04-11T16:10:00.000+0000,995304.2330982401,597068.4495999999,1008397.4103809595,997653.0663401599,798615.7238999999,1000000,1000000
2025-04-11T16:20:00.000+0000,996186.03109504,597068.4495999999,1006691.3948310924,998093.7869813599,798615.7238999999,1000000,1000000
2025-04-11T16:30:00.000+0000,993060.1077430402,1165.9371999999998,1011133.6780244692,996161.67459536,994.0652999998274,1000000,1000000
2025-04-11T16:40:00.000+0000,975945.5999113601,1165.9371999999998,1014513.8177508616,974039.6123146398,994.0652999998274,1000000,1000000
2025-04-11T16:50:00.000+0000,977127.572776,1165.9371999999998,1014732.4696565797,975645.7261947999,994.0652999998274,1000000,1000000
2025-04-11T17:00:00.000+0000,978422.1786620801,1165.9371999999998,1014023.3584481683,977308.13380392,994.0652999998274,1000000,1000000
2025-04-11T17:10:00.000+0000,980153.85860896,1165.9371999999998,1015142.9783680895,979865.9010518398,994.0652999998274,1000000,1000000
2025-04-11T17:20:00.000+0000,979494.3502380799,1165.9371999999998,1015798.4699891714,979141.4155043195,994.0652999998274,1000000,1000000
2025-04-11T17:30:00.000+0000,959412.2128108803,1165.9371999999998,1015526.0349070551,955340.55144032,994.0652999998274,1000000,1000000
2025-04-11T17:40:00.000+0000,953580.5582697601,1165.9371999999998,1025516.8496555083,947856.7543714398,994.0652999998274,1000000,1000000
2025-04-11T17:50:00.000+0000,962030.59562752,1165.9371999999998,1025939.6726483852,959469.67579608,994.0652999998274,1000000,1000000
2025-04-11T18:00:00.000+0000,952729.7626512002,1165.9371999999998,1025566.8542742189,948108.4396619998,994.0652999998274,1000000,1000000
2025-04-11T18:10:00.000+0000,962670.7654816001,1165.9371999999998,1021529.3210238839,960128.0867456,994.0652999998274,1000000,1000000
2025-04-11T18:20:00.000+0000,965472.26129464,254.67189999999988,1020252.5177636002,964405.1397988797,538.5989999998275,1000000,1000000
2025-04-11T18:30:00.000+0000,966808.0381176001,254.67189999999988,1022409.4293809324,965975.3061600798,538.5989999998275,1000000,1000000
2025-04-11T18:40:00.000+0000,974052.2658953601,254.67189999999988,1020834.2368378435,975236.34419784,538.5989999998275,1000000,1000000
2025-04-11T18:50:00.000+0000,976638.46667824,254.67189999999988,1017325.3354346376,977939.6878913598,538.5989999998275,1000000,1000000
2025-04-11T19:00:00.000+0000,981104.74969112,254.67189999999988,1018270.3550302337,984853.8940977597,538.5989999998275,1000000,1000000
2025-04-11T19:10:00.000+0000,968102.1824732001,254.67189999999988,1021461.8013151935,967355.4367715998,538.5989999998275,1000000,1000000
2025-04-11T19:20:00.000+0000,962663.6000226398,254.67189999999988,1021010.2344805021,959447.5946104,538.5989999998275,1000000,1000000
2025-04-11T19:30:00.000+0000,962854.9607115202,254.67189999999988,1019440.3271660235,959825.28261808,538.5989999998275,1000000,1000000
2025-04-11T19:40:00.000+0000,957672.6315941601,254.67189999999988,1020302.7834262277,953173.7002444,538.5989999998275,1000000,1000000
2025-04-11T19:50:00.000+0000,958219.6689139202,254.67189999999988,1020538.9466231888,954067.6101439198,538.5989999998275,1000000,1000000
2025-04-11T20:00:00.000+0000,963691.5330178399,254.67189999999988,1020468.8907297784,961089.5386035199,538.5989999998275,1000000,1000000
2025-04-11T20:10:00.000+0000,967137.5144255201,254.67189999999988,1020766.9373774738,965575.8856523198,538.5989999998275,1000000,1000000
2025-04-11T20:20:00.000+0000,961521.8553496802,254.67189999999988,1022009.5725168044,958425.6796968798,538.5989999998275,1000000,1000000
2025-04-11T20:30:00.000+0000,964292.9922651998,254.67189999999988,1023896.3979218467,962631.1502267995,538.5989999998275,1000000,1000000
2025-04-11T20:40:00.000+0000,960484.0823328001,254.67189999999988,1024530.6129766544,957399.3197422398,538.5989999998275,1000000,1000000
2025-04-11T20:50:00.000+0000,961104.3888902403,254.67189999999988,1023949.8520429716,958217.0307496799,538.5989999998275,1000000,1000000
2025-04-11T21:00:00.000+0000,952849.23080424,254.67189999999988,1025853.2129305227,947322.0113435996,538.5989999998275,1000000,1000000
2025-04-11T21:10:00.000+0000,946208.2910096799,254.67189999999988,1027813.6556457764,938361.9595240799,538.5989999998275,1000000,1000000
2025-04-11T21:20:00.000+0000,923095.69169304,254.67189999999988,1026765.6611912316,908082.4635152797,538.5989999998275,1000000,1000000
