date,total_balance_normal,unlocked_balance_normal,benchmark
2025-04-11T08:40:00.000+0000,1000000.0,1000000.0,997482.643867505
2025-04-11T08:50:00.000+0000,999958.22416528,978973.2322,997712.1113745414
2025-04-11T09:00:00.000+0000,999948.40222912,978973.2322,997432.9555083622
2025-04-11T09:10:00.000+0000,999948.9951544,978973.2322,996905.8419711903
2025-04-11T09:20:00.000+0000,999840.38671072,978973.2322,999160.0538737874
2025-04-11T09:30:00.000+0000,999791.3801473599,978973.2322,1004065.4235521127
2025-04-11T09:40:00.000+0000,999777.51085168,978973.2322,1005292.6644387584
2025-04-11T09:50:00.000+0000,999750.93233152,978973.2322,1005774.8056080742
2025-04-11T10:00:00.000+0000,999731.3142385599,978973.2322,1004892.1988582683
2025-04-11T10:10:00.000+0000,999675.55348288,978973.2322,1005127.3691866852
2025-04-11T10:20:00.000+0000,999654.49174576,978973.2322,1009584.8381372232
2025-04-11T10:30:00.000+0000,999618.70999408,978973.2322,1010721.094074433
2025-04-11T10:40:00.000+0000,999677.61583168,978973.2322,1008549.552790961
2025-04-11T10:50:00.000+0000,999673.74892768,978973.2322,1008759.9873860218
2025-04-11T11:00:00.000+0000,999649.38743248,978973.2322,1010327.4556903389
2025-04-11T11:10:00.000+0000,999636.6524286399,978973.2322,1008464.7302563791
2025-04-11T11:20:00.000+0000,999710.38139824,978973.2322,1006466.7561545465
2025-04-11T11:30:00.000+0000,999749.48868736,978973.2322,1004627.8009242318
2025-04-11T11:40:00.000+0000,999783.67211872,978973.2322,1005496.2269299575
2025-04-11T11:50:00.000+0000,999809.19368512,978973.2322,1003127.7623816498
2025-04-11T12:00:00.000+0000,999795.24705136,978973.2322,1003572.3826752633
2025-04-11T12:10:00.000+0000,999827.72904496,978973.2322,1003630.7903359607
2025-04-11T12:20:00.000+0000,999794.1385388799,978973.2322,1005327.338618012
2025-04-11T12:30:00.000+0000,999775.83519328,978973.2322,1008325.0470996408
2025-04-11T12:40:00.000+0000,999782.3831507199,978973.2322,1005217.9503298489
2025-04-11T12:50:00.000+0000,999829.8687318399,978973.2322,1002423.1147132051
2025-04-11T13:00:00.000+0000,999822.21226192,978973.2322,1002902.0030575078
2025-04-11T13:10:00.000+0000,999859.7212307199,978973.2322,1002786.9163391122
